provincia_id,nombre_provincia,sexo,edad_quinquenal,nacionalidad,pais_nacimiento,cantidad
2,Ciudad Autónoma de Buenos Aires,F,0 a 4,Argentina,Argentina,53723
2,Ciudad Autónoma de Buenos Aires,F,0 a 4,Argentina,Otro Pais,484
2,Ciudad Autónoma de Buenos Aires,F,0 a 4,Extranjera,Otro Pais,824
2,Ciudad Autónoma de Buenos Aires,F,10 a 14,Argentina,Argentina,88134
2,Ciudad Autónoma de Buenos Aires,F,10 a 14,Argentina,Otro Pais,870
2,Ciudad Autónoma de Buenos Aires,F,10 a 14,Extranjera,Otro Pais,6520
2,Ciudad Autónoma de Buenos Aires,F,100 y +,Argentina,Argentina,860
2,Ciudad Autónoma de Buenos Aires,F,100 y +,Argentina,Otro Pais,59
2,Ciudad Autónoma de Buenos Aires,F,100 y +,Extranjera,Otro Pais,224
2,Ciudad Autónoma de Buenos Aires,F,15 a 19,Argentina,Argentina,83425
2,Ciudad Autónoma de Buenos Aires,F,15 a 19,Argentina,Otro Pais,1095
2,Ciudad Autónoma de Buenos Aires,F,15 a 19,Extranjera,Otro Pais,10441
2,Ciudad Autónoma de Buenos Aires,F,20 a 24,Argentina,Argentina,83666
2,Ciudad Autónoma de Buenos Aires,F,20 a 24,Argentina,Otro Pais,1109
2,Ciudad Autónoma de Buenos Aires,F,20 a 24,Extranjera,Otro Pais,24094
2,Ciudad Autónoma de Buenos Aires,F,25 a 29,Argentina,Argentina,86683
2,Ciudad Autónoma de Buenos Aires,F,25 a 29,Argentina,Otro Pais,1280
2,Ciudad Autónoma de Buenos Aires,F,25 a 29,Extranjera,Otro Pais,31626
2,Ciudad Autónoma de Buenos Aires,F,30 a 34,Argentina,Argentina,90721
2,Ciudad Autónoma de Buenos Aires,F,30 a 34,Argentina,Otro Pais,2276
2,Ciudad Autónoma de Buenos Aires,F,30 a 34,Extranjera,Otro Pais,40425
2,Ciudad Autónoma de Buenos Aires,F,35 a 39,Argentina,Argentina,98426
2,Ciudad Autónoma de Buenos Aires,F,35 a 39,Argentina,Otro Pais,2511
2,Ciudad Autónoma de Buenos Aires,F,35 a 39,Extranjera,Otro Pais,38070
2,Ciudad Autónoma de Buenos Aires,F,40 a 44,Argentina,Argentina,99104
2,Ciudad Autónoma de Buenos Aires,F,40 a 44,Argentina,Otro Pais,2217
2,Ciudad Autónoma de Buenos Aires,F,40 a 44,Extranjera,Otro Pais,30957
2,Ciudad Autónoma de Buenos Aires,F,45 a 49,Argentina,Argentina,105394
2,Ciudad Autónoma de Buenos Aires,F,45 a 49,Argentina,Otro Pais,1877
2,Ciudad Autónoma de Buenos Aires,F,45 a 49,Extranjera,Otro Pais,24256
2,Ciudad Autónoma de Buenos Aires,F,5 a 9,Argentina,Argentina,79076
2,Ciudad Autónoma de Buenos Aires,F,5 a 9,Argentina,Otro Pais,667
2,Ciudad Autónoma de Buenos Aires,F,5 a 9,Extranjera,Otro Pais,3698
2,Ciudad Autónoma de Buenos Aires,F,50 a 54,Argentina,Argentina,94242
2,Ciudad Autónoma de Buenos Aires,F,50 a 54,Argentina,Otro Pais,1703
2,Ciudad Autónoma de Buenos Aires,F,50 a 54,Extranjera,Otro Pais,22331
2,Ciudad Autónoma de Buenos Aires,F,55 a 59,Argentina,Argentina,82218
2,Ciudad Autónoma de Buenos Aires,F,55 a 59,Argentina,Otro Pais,1777
2,Ciudad Autónoma de Buenos Aires,F,55 a 59,Extranjera,Otro Pais,20533
2,Ciudad Autónoma de Buenos Aires,F,60 a 64,Argentina,Argentina,80955
2,Ciudad Autónoma de Buenos Aires,F,60 a 64,Argentina,Otro Pais,1703
2,Ciudad Autónoma de Buenos Aires,F,60 a 64,Extranjera,Otro Pais,17054
2,Ciudad Autónoma de Buenos Aires,F,65 a 69,Argentina,Argentina,79016
2,Ciudad Autónoma de Buenos Aires,F,65 a 69,Argentina,Otro Pais,1567
2,Ciudad Autónoma de Buenos Aires,F,65 a 69,Extranjera,Otro Pais,13331
2,Ciudad Autónoma de Buenos Aires,F,70 a 74,Argentina,Argentina,73392
2,Ciudad Autónoma de Buenos Aires,F,70 a 74,Argentina,Otro Pais,1525
2,Ciudad Autónoma de Buenos Aires,F,70 a 74,Extranjera,Otro Pais,10466
2,Ciudad Autónoma de Buenos Aires,F,75 a 79,Argentina,Argentina,61121
2,Ciudad Autónoma de Buenos Aires,F,75 a 79,Argentina,Otro Pais,2009
2,Ciudad Autónoma de Buenos Aires,F,75 a 79,Extranjera,Otro Pais,9391
2,Ciudad Autónoma de Buenos Aires,F,80 a 84,Argentina,Argentina,46999
2,Ciudad Autónoma de Buenos Aires,F,80 a 84,Argentina,Otro Pais,1179
2,Ciudad Autónoma de Buenos Aires,F,80 a 84,Extranjera,Otro Pais,6040
2,Ciudad Autónoma de Buenos Aires,F,85 a 89,Argentina,Argentina,29460
2,Ciudad Autónoma de Buenos Aires,F,85 a 89,Argentina,Otro Pais,729
2,Ciudad Autónoma de Buenos Aires,F,85 a 89,Extranjera,Otro Pais,3695
2,Ciudad Autónoma de Buenos Aires,F,90 a 94,Argentina,Argentina,15470
2,Ciudad Autónoma de Buenos Aires,F,90 a 94,Argentina,Otro Pais,380
2,Ciudad Autónoma de Buenos Aires,F,90 a 94,Extranjera,Otro Pais,2131
2,Ciudad Autónoma de Buenos Aires,F,95 a 99,Argentina,Argentina,5003
2,Ciudad Autónoma de Buenos Aires,F,95 a 99,Argentina,Otro Pais,180
2,Ciudad Autónoma de Buenos Aires,F,95 a 99,Extranjera,Otro Pais,855
2,Ciudad Autónoma de Buenos Aires,M,0 a 4,Argentina,Argentina,56459
2,Ciudad Autónoma de Buenos Aires,M,0 a 4,Argentina,Otro Pais,521
2,Ciudad Autónoma de Buenos Aires,M,0 a 4,Extranjera,Otro Pais,850
2,Ciudad Autónoma de Buenos Aires,M,10 a 14,Argentina,Argentina,91935
2,Ciudad Autónoma de Buenos Aires,M,10 a 14,Argentina,Otro Pais,915
2,Ciudad Autónoma de Buenos Aires,M,10 a 14,Extranjera,Otro Pais,6683
2,Ciudad Autónoma de Buenos Aires,M,100 y +,Argentina,Argentina,215
2,Ciudad Autónoma de Buenos Aires,M,100 y +,Argentina,Otro Pais,22
2,Ciudad Autónoma de Buenos Aires,M,100 y +,Extranjera,Otro Pais,86
2,Ciudad Autónoma de Buenos Aires,M,15 a 19,Argentina,Argentina,86281
2,Ciudad Autónoma de Buenos Aires,M,15 a 19,Argentina,Otro Pais,1127
2,Ciudad Autónoma de Buenos Aires,M,15 a 19,Extranjera,Otro Pais,9966
2,Ciudad Autónoma de Buenos Aires,M,20 a 24,Argentina,Argentina,84058
2,Ciudad Autónoma de Buenos Aires,M,20 a 24,Argentina,Otro Pais,1084
2,Ciudad Autónoma de Buenos Aires,M,20 a 24,Extranjera,Otro Pais,19796
2,Ciudad Autónoma de Buenos Aires,M,25 a 29,Argentina,Argentina,86117
2,Ciudad Autónoma de Buenos Aires,M,25 a 29,Argentina,Otro Pais,1215
2,Ciudad Autónoma de Buenos Aires,M,25 a 29,Extranjera,Otro Pais,27047
2,Ciudad Autónoma de Buenos Aires,M,30 a 34,Argentina,Argentina,90497
2,Ciudad Autónoma de Buenos Aires,M,30 a 34,Argentina,Otro Pais,2215
2,Ciudad Autónoma de Buenos Aires,M,30 a 34,Extranjera,Otro Pais,36588
2,Ciudad Autónoma de Buenos Aires,M,35 a 39,Argentina,Argentina,98259
2,Ciudad Autónoma de Buenos Aires,M,35 a 39,Argentina,Otro Pais,2535
2,Ciudad Autónoma de Buenos Aires,M,35 a 39,Extranjera,Otro Pais,36439
2,Ciudad Autónoma de Buenos Aires,M,40 a 44,Argentina,Argentina,99671
2,Ciudad Autónoma de Buenos Aires,M,40 a 44,Argentina,Otro Pais,2113
2,Ciudad Autónoma de Buenos Aires,M,40 a 44,Extranjera,Otro Pais,28892
2,Ciudad Autónoma de Buenos Aires,M,45 a 49,Argentina,Argentina,103308
2,Ciudad Autónoma de Buenos Aires,M,45 a 49,Argentina,Otro Pais,1703
2,Ciudad Autónoma de Buenos Aires,M,45 a 49,Extranjera,Otro Pais,20605
2,Ciudad Autónoma de Buenos Aires,M,5 a 9,Argentina,Argentina,82159
2,Ciudad Autónoma de Buenos Aires,M,5 a 9,Argentina,Otro Pais,814
2,Ciudad Autónoma de Buenos Aires,M,5 a 9,Extranjera,Otro Pais,3886
2,Ciudad Autónoma de Buenos Aires,M,50 a 54,Argentina,Argentina,91776
2,Ciudad Autónoma de Buenos Aires,M,50 a 54,Argentina,Otro Pais,1326
2,Ciudad Autónoma de Buenos Aires,M,50 a 54,Extranjera,Otro Pais,17398
2,Ciudad Autónoma de Buenos Aires,M,55 a 59,Argentina,Argentina,78454
2,Ciudad Autónoma de Buenos Aires,M,55 a 59,Argentina,Otro Pais,1332
2,Ciudad Autónoma de Buenos Aires,M,55 a 59,Extranjera,Otro Pais,14194
2,Ciudad Autónoma de Buenos Aires,M,60 a 64,Argentina,Argentina,74376
2,Ciudad Autónoma de Buenos Aires,M,60 a 64,Argentina,Otro Pais,1170
2,Ciudad Autónoma de Buenos Aires,M,60 a 64,Extranjera,Otro Pais,11644
2,Ciudad Autónoma de Buenos Aires,M,65 a 69,Argentina,Argentina,67603
2,Ciudad Autónoma de Buenos Aires,M,65 a 69,Argentina,Otro Pais,1096
2,Ciudad Autónoma de Buenos Aires,M,65 a 69,Extranjera,Otro Pais,8461
2,Ciudad Autónoma de Buenos Aires,M,70 a 74,Argentina,Argentina,54789
2,Ciudad Autónoma de Buenos Aires,M,70 a 74,Argentina,Otro Pais,975
2,Ciudad Autónoma de Buenos Aires,M,70 a 74,Extranjera,Otro Pais,6801
2,Ciudad Autónoma de Buenos Aires,M,75 a 79,Argentina,Argentina,40375
2,Ciudad Autónoma de Buenos Aires,M,75 a 79,Argentina,Otro Pais,1259
2,Ciudad Autónoma de Buenos Aires,M,75 a 79,Extranjera,Otro Pais,6059
2,Ciudad Autónoma de Buenos Aires,M,80 a 84,Argentina,Argentina,25917
2,Ciudad Autónoma de Buenos Aires,M,80 a 84,Argentina,Otro Pais,759
2,Ciudad Autónoma de Buenos Aires,M,80 a 84,Extranjera,Otro Pais,3578
2,Ciudad Autónoma de Buenos Aires,M,85 a 89,Argentina,Argentina,13283
2,Ciudad Autónoma de Buenos Aires,M,85 a 89,Argentina,Otro Pais,428
2,Ciudad Autónoma de Buenos Aires,M,85 a 89,Extranjera,Otro Pais,1962
2,Ciudad Autónoma de Buenos Aires,M,90 a 94,Argentina,Argentina,5272
2,Ciudad Autónoma de Buenos Aires,M,90 a 94,Argentina,Otro Pais,254
2,Ciudad Autónoma de Buenos Aires,M,90 a 94,Extranjera,Otro Pais,986
2,Ciudad Autónoma de Buenos Aires,M,95 a 99,Argentina,Argentina,1344
2,Ciudad Autónoma de Buenos Aires,M,95 a 99,Argentina,Otro Pais,104
2,Ciudad Autónoma de Buenos Aires,M,95 a 99,Extranjera,Otro Pais,281
2,Ciudad Autónoma de Buenos Aires,X,10 a 14,Argentina,Argentina,1
2,Ciudad Autónoma de Buenos Aires,X,15 a 19,Argentina,Argentina,31
2,Ciudad Autónoma de Buenos Aires,X,15 a 19,Argentina,Otro Pais,1
2,Ciudad Autónoma de Buenos Aires,X,15 a 19,Extranjera,Otro Pais,2
2,Ciudad Autónoma de Buenos Aires,X,20 a 24,Argentina,Argentina,71
